FranchiseId	FranchiseSeasonId	Slug	Abbreviation	ColorCodeHex	ColorCodeAltHex
330efd55-bea0-58ca-b4d2-480742544921	da12279e-9044-9603-1437-6f43eb0f1492	abilene-christian-wildcats	ACU	592d82	b1b3b3
4339c660-c92f-511e-8904-a23010d78ee6	89b2bdbf-ea53-0468-28f7-37e906e27cee	adams-state-grizzlies	ADA	000000	NULL
0488198e-31d8-821f-2885-0ef5eb35dac6	64242072-9075-649f-3efe-273c495fe8b5	adrian-bulldogs	ADR	000000	NULL
4a62df14-2e2b-3757-506a-9c03dc836c91	d4b10e70-3a5f-4d6b-c53f-dd96c502350b	air-force-falcons	AFA	004a7b	ffffff
c89c87a7-1408-c531-f901-608a60eec735	8ff63635-280e-8386-a0c9-a6ee3014b346	akron-zips	AKR	00285e	84754e
f2b04f10-7ecd-dc35-aced-0295fe320a83	6a8ef5ab-4625-36c0-25f9-7263095a92a4	alabama-am-bulldogs	AAMU	790000	ffffff
1dfac329-d0da-652f-6121-94a0afbc3a72	0fe5f457-3ab7-4d9b-47c5-7015eaec1c4f	alabama-crimson-tide	ALA	9e1632	ffffff
b4d251b2-14f2-7a70-348a-52169454db6a	db9011c2-1497-70de-e20a-823e340d59bc	alabama-state-hornets	ALST	e9a900	0a0a0a
198a2316-9e44-85e2-840f-9ba2787d91ff	c6839a9a-a6cb-e408-f777-e8460ffbeed7	albion-britons	ALBI	000000	NULL
5279e9bc-0011-e580-6c19-db34c482fa43	45ad990b-0f38-f115-1eda-cbd85908c6fe	albright-lions	ALB	c82e48	000000
f722bf13-aba9-23cb-c7fa-20a9e9a5bb9e	0dc1dfd4-8247-1ba5-071a-160d6c2b1cfb	alcorn-state-braves	ALCN	4b0058	46166a
4caa01f9-9f50-e650-abe9-03db328e0460	32df6d83-02e4-342b-d8e2-28b0e4766d13	allegheny-gators	ALL	000000	NULL
5b6c7757-c787-f66d-299d-35a480f5d10f	62f684c5-ac9d-73f8-3a4e-b679ae5eb48c	allen-yellow-jackets	ALN	ffffff	NULL
9be7c4eb-ef2e-6fbf-30fc-59b4f54c0a3b	831e106e-972b-ec1c-5d9f-cc9972e3eadc	american	AMER	000000	NULL
0d7155a2-e377-26c6-f5da-c675f7523cc4	70cf3c4c-840b-6e91-c7eb-6647207ae514	american-international-yellow-jackets	AIC	000000	NULL
0970ea19-497c-c654-6ba4-72d6828ef7cf	ae9a5e55-9080-16f9-a196-f59386bea704	amherst-mammoths	AMH	3f1f69	ffffff
8affd2a2-aa2b-2765-f072-40a8f28a6186	ccc1cdca-a193-0b48-4d4a-993bc8579e81	anderson-in-ravens	AND	000000	NULL
ad118d65-af52-6d13-3017-3b18e4f9c6b3	8904df17-eec5-140c-8821-a013d281177e	anderson-sc-trojans	AND	ffffff	NULL
623c54f5-482b-0ea0-cc43-4349f579fd86	afa07619-c500-44f0-331b-1717d7faf117	angelo-state-rams	ANG	000000	NULL
fc23718e-58ae-b6d9-75d1-e6bec2b552c3	e798e2c9-1ec3-07c8-11b9-cc798231a9ce	anna-maria-college-amcats	ANN	000000	NULL
d9002857-fbdc-2960-737f-672b55a3d5e3	8101a1bb-c76a-2acf-ed99-eebecd93874f	apprentice-school-builders	APP	000000	NULL
764c747f-2608-de4c-2941-a8fc1ee681ad	7f5ac305-d958-2553-b3d6-b42d6f67715c	app-state-mountaineers	APP	000000	ffcd00
96bb8cc9-cec5-a13d-9fd0-e257d487dc1f	05561837-7b79-2bd9-3e54-a27ecf4947dc	arizona-state-sun-devils	ASU	8e0c3a	ffc72c
4f1c56a5-ced4-a36e-26d1-c3c2fe5acd11	09259681-0830-ae7b-cb1b-cc1e3ab45007	arizona-wildcats	ARIZ	0c234b	ab0520
4c1dbb0b-7d89-d90a-0a11-2aaa7006cb51	4aa7ae12-dd45-68e1-4b6b-7072b1140f89	arkansas-monticello-boll-weevils	ARK	000000	NULL
ec6db1cb-d320-6355-c7d0-a84307989a53	e3206746-3490-d521-7669-b05f67339be5	arkansas-pine-bluff-golden-lions	UAPB	e0aa0f	eaaa00
7fe55941-c36d-0c1b-2c0a-636097f94388	4aa7cc0c-e63f-feba-ca78-0f18a22f2576	arkansas-razorbacks	ARK	a41f35	ffffff
42aa9ac3-44b6-da41-7dfe-c93e19bf172a	31593dee-018c-eb1f-fa1a-0f8e2ea73131	arkansas-state-red-wolves	ARST	e81018	000000
100f0947-a70e-1262-9e32-2547460238c3	fab2ca1f-aec6-60b3-1cb4-4c75ee4934a1	arkansas-tech-wonder-boys	ARK	000000	NULL
57a93135-7b1d-5307-52ea-10eb627544da	f82fcb03-ec3e-eee5-7d2d-133cf6b3357e	army-black-knights	ARMY	ce9c00	231f20
