FranchiseId	FranchiseSeasonId	Slug	Abbreviation	ColorCodeHex	ColorCodeAltHex
14f0ef58-8728-7b8f-cbed-a8e082539dc6	4728734e-78a0-644a-9739-9ca8970d7187	arizona-cardinals	ARI	a40227	ffffff
52558ba7-4c52-94b2-ebbe-94c4d13725b2	e3e280a9-38cd-867a-4710-3a4c76198a2e	atlanta-falcons	ATL	a71930	000000
27601c17-b109-bb51-d27e-46212431d5ce	16a49f27-7fc2-8945-d6e4-66db28e1df04	baltimore-ravens	BAL	29126f	000000
ad922591-0960-c7b7-76ac-2de3b6321fd9	565e4b75-47db-c6e5-80e5-01ffbaa331f0	buffalo-bills	BUF	00338d	d50a0a
0b5dd1d6-4f0b-e546-02e2-cbdc5671d7ac	657b3b24-678f-c94f-a1eb-b4e680d9c904	carolina-panthers	CAR	0085ca	000000
00b02f7b-b7bc-e6e8-f0b7-62eb399131de	444f6caf-187e-fa79-18b9-c753a8cca171	chicago-bears	CHI	0b1c3a	e64100
be43aed1-bb08-8078-1c9e-8f2a0128061f	3bf0a8c2-9d7e-06ff-b3ad-a1a0414135d1	cincinnati-bengals	CIN	fb4f14	000000
8d6e1e8a-fe4a-828b-5278-5df51d95a0ba	3f875cd1-bfd9-be9f-15d9-cadb8545d171	cleveland-browns	CLE	472a08	ff3c00
992219f4-4029-c37c-f1b3-4871801bb362	a7e3c6f0-ace8-0164-abc5-4bfba0d24338	dallas-cowboys	DAL	002a5c	b0b7bc
f2ed33fc-7be2-714b-70d1-7d6895f928dd	398db16a-b5ea-b69a-9dea-b1fc7253c625	denver-broncos	DEN	0a2343	fc4c02
a8205dd4-8c1f-8bc5-b50c-050eac69ee3f	bd63de67-3e81-91d6-349c-a557ceacf86d	detroit-lions	DET	0076b6	bbbbbb
9065e25b-99e3-bf53-91aa-fb2d8280dd74	ff0b84fb-e98d-0c74-42ff-17e27d445e61	green-bay-packers	GB	204e32	ffb612
4abd4f76-4e73-a956-12b5-084195f56253	81e06872-40fb-f9ab-af86-f0f210b94ba7	houston-texans	HOU	00143f	c41230
cd06ad8f-3a29-80ff-e082-48ca6110215a	e2eac73a-57df-be42-851f-a867ab36f966	indianapolis-colts	IND	003b75	ffffff
3d56382e-bd22-ce08-a538-5836e0d1568e	94aa2648-264c-ca78-93b2-e4801fd8320b	jacksonville-jaguars	JAX	007487	d7a22a
3e58b8b0-e6df-e884-6f1c-ae2b7e218975	eca19f0d-19ea-0899-e55a-55c3c7ba7512	kansas-city-chiefs	KC	e31837	ffb612
c903f16f-d8e6-2db2-98a0-1a8f4a6b5268	94e94c52-8f7d-7883-62ba-f858317d9ae6	las-vegas-raiders	LV	000000	a5acaf
29efe9a8-f7fe-72e5-f357-8856dc791fb4	278ab273-3aed-2653-e288-a3a975c2568f	los-angeles-chargers	LAC	0080c6	ffc20e
7491fa4d-7b61-d549-1dcd-60a5ef557cac	e296d759-2c76-bdc3-2104-fb1f3b8a1e09	los-angeles-rams	LAR	003594	ffd100
64a1c51c-41c0-25a8-140c-256e5c307fa9	819e11f7-daca-d405-cc29-b4ed67b02543	miami-dolphins	MIA	008e97	fc4c02
d59e681d-67c5-d1e3-3813-342e0276f9c0	503b7f45-f458-34c6-5349-7282a1d39dbb	minnesota-vikings	MIN	4f2683	ffc62f
37654f34-2200-dee1-f68d-4998b5cba4af	f3609e78-b709-c37d-bdb2-d45e40c3b75f	new-england-patriots	NE	002a5c	c60c30
6fc50bcc-4466-f506-5a41-e2efbacc160b	6515a06d-e842-e010-d080-a42fe9115d82	new-orleans-saints	NO	d3bc8d	000000
88c30a37-1d89-d008-a26e-d6c471b8a2e3	7ef71217-0980-1dfa-307c-2ff9a0ccfd7c	new-york-giants	NYG	003c7f	c9243f
7fad01e8-f959-01a9-aed5-409fbc131eb3	e445e34d-627e-f091-db83-adc5e664709f	new-york-jets	NYJ	115740	ffffff
1f6f085c-15ad-7796-eed9-9d0c240a7714	43c3fc51-5c98-734d-9fba-f0976c12829e	philadelphia-eagles	PHI	06424d	000000
7d698d76-163e-e91a-3157-a569052636a2	afa01789-3cb3-56e6-c874-8d75b8b4ff67	pittsburgh-steelers	PIT	000000	ffb612
2dd648b2-1a1f-7c7c-3bdd-636de0ac8694	6d52cd62-9429-7859-05f0-0d158680bf10	san-francisco-49ers	SF	aa0000	b3995d
524524e3-3643-8b51-46ad-ddf8b0f0c5ee	68a7e54c-a4be-4576-91da-ef4a45e759fc	seattle-seahawks	SEA	002a5c	69be28
a27c41fe-2c97-9728-6832-b81084849a0d	dc8b24e0-2912-6fdb-93a0-a7524c46176f	tampa-bay-buccaneers	TB	bd1c36	3e3a35
ca13d2f0-8a41-a477-009b-df966edfb066	3d880f51-6864-8028-d6d2-4b26c51a4b9a	tennessee-titans	TEN	4b92db	001532
dbb76c0e-65fa-3825-cd87-b9f9576f1c77	b80f04d9-8e94-0718-4fa9-d02fceac7aa4	washington-commanders	WSH	5a1414	ffb612
